lang,type,N,reps,total_ns,avg_ns,checksum
C,signed_char,10,2000000,10955000,5.48,-250000000
C,signed_char,100,200000,13567000,67.83,-359200000
C,signed_char,1000,20000,11808000,590.40,-345260000
C,signed_char,10000,2000,11849000,5924.50,-356770000
C,signed_char,100000,200,8363000,41815.00,-347166400
C,signed_char,1000000,20,11348000,567400.00,-348140220
C,short,10,2000000,12551000,6.28,-923614140220
C,short,100,200000,9084000,45.42,-1401744340220
C,short,1000,20000,10289000,514.45,-870312820220
C,short,10000,2000,11349000,5674.50,-805490054220
C,short,100000,200,13205000,66025.00,-834381271620
C,short,1000000,20,12054000,602700.00,-848649640060
C,int,10,2000000,10166000,5.08,-1209262229305640060
C,int,100,200000,12695000,63.48,-1084038569558640060
C,int,1000,20000,10905000,545.25,-1390965931321940060
C,int,10000,2000,10281000,5140.50,-1457346694859994060
C,int,100000,200,9372000,46860.00,-1444455240116632260
C,int,1000000,20,14503000,725150.00,-1439537793507279780
C,float,10,2000000,22671000,11.34,1519362.421706
C,float,100,200000,32059000,160.29,1709330.855310
C,float,1000,20000,50855000,2542.75,2002245.513760
C,float,10000,2000,43958000,21979.00,2091637.019075
C,float,100000,200,39536000,197680.00,2109651.697204
C,float,1000000,20,51606000,2580300.00,2102934.703357
C,double,10,2000000,16452000,8.23,1652184.836692
C,double,100,200000,24449000,122.25,2393441.679082
C,double,1000,20000,40346000,2017.30,2349097.626149
C,double,10000,2000,36760000,18380.00,2392622.646148
C,double,100000,200,32929000,164645.00,2410297.528209
C,double,1000000,20,29716000,1485800.00,2407731.074085
